Date,ISIN No,Security Description,Type,Year Of Maturity,Maturity Date,Trades,Total Volume,High Price (`),Low Price (`),Last Traded Price (`),Last Traded YTM (%),WtdAvgPrice,WtdAvgYield,Platform
05-03-2026,IN0020250059,6.28% GS 2032,GS,2032,14-07-2032,12,115,98.73,98.61,98.71,6.53,98.68,6.53,NDS-OM
05-03-2026,IN0020160118,6.79% GS 2029,GS,2029,26-12-2029,6,110,102,102,102,6.19,102,6.19,NDS-OM
05-03-2026,IN2220250392,7.43% MAHARASHTRA SGS 2040,SDL,2040,03-12-2040,4,107.13,99.6,99.54,99.55,7.48,99.54,7.48,NDS-OM
05-03-2026,IN002025X406,09/04/2026 MATURING 91 DTB,TB,2026,09-04-2026,9,106,99.53,99.52,99.52,5.2,99.52,5.2,NDS-OM
05-03-2026,IN0020210244,6.54% GS 2032,GS,2032,17-01-2032,2,105,100.4,100.35,100.35,6.47,100.4,6.46,NDS-OM
05-03-2026,IN2220240476,7.19% MAHARASHTRA SGS 2040,SDL,2040,27-02-2040,1,100,97.51,97.51,97.51,7.48,97.51,7.48,NDS-OM
05-03-2026,IN0020220029,7.54% GS 2036,GS,2036,23-05-2036,12,95,105.8,105.52,105.8,6.74,105.67,6.76,NDS-OM
05-03-2026,IN0020230077,7.18% GS 2037,GS,2037,24-07-2037,6,92,102.85,102.75,102.8,6.82,102.78,6.82,NDS-OM
05-03-2026,IN1920230282,7.42% KARNATAKA SGS 2039,SDL,2039,28-02-2039,1,90,99.51,99.51,99.51,7.48,99.51,7.48,NDS-OM
05-03-2026,IN002025Y255,19/03/2026 MATURING 182 DTB,TB,2026,19-03-2026,6,75,99.84,99.83,99.84,4.5,99.83,4.79,NDS-OM
05-03-2026,IN0020240076,7.02% GS 2031,GS,2031,18-06-2031,6,60.1,102.63,102,102.55,6.44,102.62,6.42,NDS-OM
05-03-2026,IN0020230010,7.06% GS 2028,GS,2028,10-04-2028,5,57,102.63,102.59,102.59,5.73,102.6,5.72,NDS-OM
05-03-2026,IN002025Z146,02/07/2026 MATURING 364 DTB,TB,2026,02-07-2026,7,55,98.3,98.27,98.3,5.35,98.3,5.36,NDS-OM
05-03-2026,IN1720250134,7.69% HIMACHAL PR SGS 2046,SDL,2046,04-03-2046,8,51.22,100.3,100.15,100.25,7.67,100.2,7.67,NDS-OM
05-03-2026,IN4920250250,7.68% JAMMUKASHMIR SGS 2038,SDL,2038,04-03-2038,3,50.25,100.8,100.59,100.8,7.58,100.59,7.6,NDS-OM
05-03-2026,IN0020220037,7.38% GS 2027,GS,2027,20-06-2027,7,50.03,102.21,101.5,102.17,5.6,102.19,5.59,NDS-OM
05-03-2026,IN2920230322,7.74% RAJASTHAN SGS 2033,SDL,2033,29-11-2033,2,50,102.49,102.49,102.49,7.31,102.49,7.31,NDS-OM
05-03-2026,IN1020250305,7.62% ANDHRA SGS 2036,SDL,2036,03-09-2036,2,50,101.85,101.85,101.85,7.36,101.85,7.36,NDS-OM
05-03-2026,IN0020060078,8.24% GOVT.STOCK 2027,GS,2027,15-02-2027,6,50,102.42,102.4,102.41,5.57,102.41,5.58,NDS-OM
05-03-2026,IN3320230128,7.71% UTTARPRADESH SGS 2033,SDL,2033,01-11-2033,2,45,102.35,102.32,102.35,7.3,102.33,7.3,NDS-OM
05-03-2026,IN0020240142,7.09% GS 2074,GS,2074,25-11-2074,5,45,95,94.85,94.85,7.49,94.87,7.48,NDS-OM
05-03-2026,IN0020220086,7.36% GS 2052,GS,2052,12-09-2052,6,45,99.79,99.6,99.75,7.38,99.68,7.39,NDS-OM
05-03-2026,IN0020210137,GOI FRB 2034,GS,2034,30-10-2034,1,45,102.25,102.25,102.25,6.16,102.25,6.16,NDS-OM
05-03-2026,IN0020030022,6.13% GOVT. STOCK 2028,GS,2028,04-06-2028,1,45,100.79,100.79,100.79,5.74,100.79,5.74,NDS-OM
05-03-2026,IN002025X430,30/04/2026 MATURING 91 DTB,TB,2026,30-04-2026,4,40.02,99.22,99.21,99.21,5.3,99.22,5.25,NDS-OM
05-03-2026,IN1920250256,7.47% KARNATAKA SGS 2036,SDL,2036,25-08-2036,3,35.74,100.4,100.4,100.4,7.41,100.4,7.41,NDS-OM
05-03-2026,IN002025Z393,25/12/2026 MATURING 364 DTB,TB,2026,25-12-2026,4,35,95.76,95.73,95.73,5.54,95.74,5.52,NDS-OM
05-03-2026,IN002025Y339,14/05/2026 MATURING 182 DTB,TB,2026,14-05-2026,4,35,99.01,99.01,99.01,5.3,99.01,5.3,NDS-OM
05-03-2026,IN0020210095,6.10% GS 2031,GS,2031,12-07-2031,1,35,98.49,98.49,98.49,6.44,98.49,6.44,NDS-OM
05-03-2026,IN002025Z047,23/04/2026 MATURING 364 DTB,TB,2026,23-04-2026,1,30,99.33,99.33,99.33,5.15,99.33,5.15,NDS-OM
05-03-2026,IN2820250198,7.54% PUNJAB SGS 2034,SDL,2034,25-02-2034,5,30,100.38,100.38,100.38,7.48,100.38,7.48,NDS-OM
05-03-2026,IN1020230083,7.4% ANDHRA SGS 2031,SDL,2031,10-05-2031,1,30,101.52,101.52,101.52,7.04,101.52,7.04,NDS-OM
05-03-2026,IN3320250233,7.62% UTTARPRADESH SGS 2041,SDL,2041,04-03-2041,15,27.02,100.4,100.1,100.15,7.6,100.14,7.6,NDS-OM
05-03-2026,IN002025Y354,28/05/2026 MATURING 182 DTB,TB,2026,28-05-2026,1,25,98.81,98.81,98.81,5.28,98.81,5.28,NDS-OM
05-03-2026,IN002025Y313,30/04/2026 MATURING 182 DTB,TB,2026,30-04-2026,2,25,99.22,99.22,99.22,5.25,99.22,5.25,NDS-OM
05-03-2026,IN002025X448,07/05/2026 MATURING 91 DTB,TB,2026,07-05-2026,4,25,99.11,99.11,99.11,5.27,99.11,5.27,NDS-OM
05-03-2026,IN002024Z503,26/03/2026 MATURING 364 DTB,TB,2026,26-03-2026,2,25,99.75,99.74,99.74,4.7,99.74,4.68,NDS-OM
05-03-2026,IN1620250358,7.73% HARYANA SGS 2045,SDL,2045,18-02-2045,2,25,100.73,100.73,100.73,7.66,100.73,7.66,NDS-OM
05-03-2026,IN1020250529,7.68% ANDHRA SGS 2039,SDL,2039,04-02-2039,1,25,100.85,100.85,100.85,7.58,100.85,7.58,NDS-OM
05-03-2026,IN0020200401,6.76% GS 2061,GS,2061,22-02-2061,1,25,91.59,91.59,91.59,7.44,91.59,7.44,NDS-OM
05-03-2026,IN0020230051,7.30% GS 2053,GS,2053,19-06-2053,6,20.35,99.19,98.6,98.6,7.42,98.81,7.4,NDS-OM
05-03-2026,IN3620250107,7.67% UTTARAKHAND SGS 2041,SDL,2041,04-03-2041,4,20.05,100.7,100.2,100.2,7.65,100.28,7.64,NDS-OM
05-03-2026,IN002025Z187,30/07/2026 MATURING 364 DTB,TB,2026,30-07-2026,1,20,97.87,97.87,97.87,5.45,97.87,5.45,NDS-OM
05-03-2026,IN3520250058,7.59% CHHATTISGARH SGS 2046,SDL,2046,07-01-2046,4,20,99.65,99.6,99.65,7.62,99.61,7.63,NDS-OM
05-03-2026,IN3420250398,7.72% WESTBENGAL SGS 2041,SDL,2041,25-02-2041,4,20,100.65,100.6,100.6,7.65,100.61,7.65,NDS-OM
05-03-2026,IN3420250380,7.74% WESTBENGAL SGS 2048,SDL,2048,18-02-2048,1,20,100.68,100.68,100.68,7.68,100.68,7.68,NDS-OM
05-03-2026,IN1520250334,7.4% GUJARAT SGS 2036,SDL,2036,04-03-2036,1,20,100.35,100.35,100.35,7.35,100.35,7.35,NDS-OM
05-03-2026,IN0020240183,6.75% GS 2029,GS,2029,23-12-2029,1,20,102.25,102.25,102.25,6.07,102.25,6.07,NDS-OM
